run,seed,timestep_0
1,988323551,000000000000000000000000000000000000000000011111111111111111111111011111111111100000000000000000000000000000000000000000
2,283563106,000000000000000000000000000000000000000000001111111111111111111111111111111111111001000000000000000000000000000000000000
3,569480092,000000000000000000000000000000000000000000111011111111111110111111111111111111100000000000000000000000000000000000000000
4,1448524828,000000000000000000001000000000000000100001011111111111111111110111111111101110000000000000000000000000000000000000000000
5,1162072943,000000000000000000000000000010000000000000001111111111111111111111111111111111000000000000000000000000000000000000000000
6,455859087,000000000000000000000000000000000000000000011111111111111111100111111111111111110000000000000001000000000000000000000000
7,1144263919,000000000000000000000000000000000000000000111111111111111011011111111111111110100000000000000000000000000000000000000000
8,1580526299,000000000000000000000000000000000000000000111110111111111111111111111111011110000000000000000000000000000000000000000010
9,1669963220,000000000000000000000000010000000000000000011111111111111111111111111111110111100000000000000000000000000000000000000000
10,252862804,000000000000000000000000000000000000000000111111111111011111111111111111111111100000000000000000000000000000000000000000
11,1598649789,000000000000000000000000000000000000100011111111111111111111110111110111010100000000000000000000010000000000000000000000
12,1995348975,000000000000000010000000000000000000000000011011111111111111111001111111111111000000000000000000000001000000100000000010
13,1957243833,000000010000000000000000000000000000000000000110111111111111111111111111111111110000000000000000000000000000000000000000
14,1724361299,000000000000000000000000000000000000000000111111111111111111101111111111111011100000000000000000000000000000000000000000
15,976519524,000000000000000000000000000000000000000001111111111111111111101011111111101111000000000000000000000000000000000000000000
16,1820678729,000000000000000000000000000000000000000000111111111111111111111111111111111111100000000000000000000000000000000000000000
17,823757252,000000000000000000000000000000000000000000111111111111111111111111010111111111100000000000000000000000000000000000000000
18,1894454013,010000000000000000000000000000000000000000000011111111111111111111111111111111000100000000000000000000000000000000000000
19,1438251327,000000000000000000000000000000000000000011111111111111111111111111111111011110000000000000000000000000000000000000000000
20,643850524,000000000000000000000000000100000000000000111101111111111111111111111111111111000000000000000000000000000000000000000000
21,1175705089,000000000000000000000000000000000000000000011111111111111111011111011111111111100000000000000000000000000000000000000000
22,644854824,000000000000000000000000000000000000000000001111111111111111111111111111111111110000000000000000000000000000000000000000
23,1962957930,000000000000000000000000000000000000000000000111111111111111111111111111111111111000100000000000000000000000000000000000
24,897452507,000000000000000000000000000000000000000000001111111111111111111111111111111101100000000000000000000000000000000000000000
25,1376308872,000000000010000000000000000000000000000000111111111111111111111111111010111111100000000000000000000000000000000000000000
26,787136087,000000000000000000000000000000000000000000111111111111111111110111111111111011100000000000000000000000000000000000000000
27,1258546322,000000000000000000000000000000000000000000011111111111111111111111111111111110000000000000000000000000000000000000000000
28,1991554189,000000000000000000000000000000000000000000011111111111111111111111111111111111100000000000000000000000000000000000000000
29,886940046,000000000000000000000000000000000000000000111111111111111111101101110111111111110000000000000000000000000000000000000000
30,248356339,000000000000000000000000000000000000000000000001111110111111111011111111111111111110000000000000000000000000000000000000
31,6983336,000000000000000000000000000000000000000111111111111111111111111111011111111000000000000000000000000000000000000000000000
32,1765264922,000000000000000000000000000000000000000000111111111111111111111111101111110111000000000000000000000000000000000000000000
33,160526857,000000000000000000000000000000000000000000001111111111111111111111111111111111110000010000000000000000000000000000000000
34,1533769044,000000000000000000000001000000000000000000000111111111111111111111111111111111000000000000000000000000000000000000000000
35,861882633,000000000000000000000000000000000000000001111111111111111111101111111111111111000000000000000000000000000000000000000000
36,289258827,000000000000000000000000000000000000000000110111111110011010110111011111111111111000000000000000000000000000000000000000
37,257087628,000000000000000000000000000000000000000000111111111111111111111111111111111011100000000000000000000000000000000000000000
38,1192943384,000000000000000000000000000000000000000000010111111111111111111101111111111111100000000000000000000000000000000000000000
39,1003892161,000000000000000000000000000000000000000000111111111111111111111111111111111110000000000000000000000000000000000000000000
40,1193108026,000000000000000000000000000000000000000010111111111111111111111111111111111111000000000000000000000000000000000000000000
41,85903140,000000000000000000000000000000000000000000111111111111111111111111111111010111100000000000000000000000000000000000000000
42,1199824532,000000001000000000000000000000100000000000011111111111111111111111111111111111000000000000000010000000000000000000000000
43,1548504369,000000000000000000000000000000000000000111111111111111111111111111111111101100000000000000000000000000000000000000000000
44,577726471,000000000000000000000000000000000000000000001111111111111110101111111111111111110000000000000000000000000000000000000000
45,1070496199,000000000000000000000000000000000000000000011101111111111111111111111111111111100000000000000000000000000000000000000100
46,379982941,000000000000000000000000000000000000000001111111111111111111111111111111111010000000000000000000000000000000000000000000
47,1602325506,000000000000000000000000000000000000000000011111111111111111111111111111111111100000010000000000000000000000000000000000
48,1374410110,000000000000000000000000000000000000000000001111111111111111111111111111111111100001000000000000010000000000000000000000
49,1927014945,000000000000000010000000000000000000000000111111111111111111111111111111111110000000000000000000000000000000000000000000
50,1542045141,000000000000000000000000000000001000000000111111111111111111111111111111111110000000000000000000000000000000000000000000
